	1985	1988	1991	1995	1997	1999	2001	2002	2004	2006	2010
E691	400	 	 	 							
E665	 	1000	2000	 							
E769	 	1500	 	 							
E791			50000								
CDF/D0			2000	10000				250000	800000		
KTeV					50000	50000					
E871					50000	150000					
BABAR							150000				
CMS/ATLAS								 	 	1000000	
E831					25000						
ALEPH							3500				
JLAB							120000				1000000
RHIC								250000			
NA48						100000					
ZEUS						3500					
